epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,7950.25,0.50162,0.47741,1.10126,0.96911,0.95099,0.9807,0.88209,0.49535,0.32491,1.19992,0.0018325,0.0018325,0.0018325
167,7998.15,0.50184,0.47805,1.10482,0.96905,0.95109,0.98048,0.88214,0.4952,0.32543,1.20021,0.001783,0.001783,0.001783
168,8046.23,0.50049,0.48285,1.1009,0.96908,0.95148,0.98037,0.8822,0.49516,0.32576,1.20069,0.0017335,0.0017335,0.0017335
169,8094.23,0.49537,0.4661,1.08949,0.96649,0.95373,0.98041,0.88202,0.49498,0.32602,1.20107,0.001684,0.001684,0.001684
170,8142.18,0.48863,0.46913,1.09319,0.96609,0.95503,0.98027,0.88228,0.49437,0.32697,1.20066,0.0016345,0.0016345,0.0016345
171,8190.35,0.49143,0.46505,1.09304,0.9667,0.95529,0.98037,0.88192,0.49413,0.32603,1.19993,0.001585,0.001585,0.001585
172,8238.63,0.48944,0.46061,1.09475,0.96764,0.95379,0.98073,0.88207,0.49349,0.32451,1.19921,0.0015355,0.0015355,0.0015355
173,8286.73,0.48698,0.46303,1.09165,0.96779,0.95306,0.98084,0.88233,0.49341,0.32461,1.19974,0.001486,0.001486,0.001486
174,8335.05,0.49054,0.4624,1.09336,0.96742,0.9531,0.98077,0.88286,0.49386,0.32532,1.20055,0.0014365,0.0014365,0.0014365
175,8383.07,0.4969,0.47585,1.09509,0.96742,0.95304,0.98105,0.88255,0.49419,0.32488,1.20186,0.001387,0.001387,0.001387
176,8430.85,0.48491,0.45619,1.0878,0.96863,0.9519,0.98118,0.88158,0.49403,0.32474,1.2022,0.0013375,0.0013375,0.0013375
177,8478.9,0.48553,0.45885,1.08682,0.96778,0.95222,0.98123,0.88098,0.49427,0.32389,1.20255,0.001288,0.001288,0.001288
178,8526.79,0.48869,0.46445,1.08788,0.96864,0.95189,0.98069,0.88083,0.49481,0.32446,1.20344,0.0012385,0.0012385,0.0012385
179,8574.91,0.48155,0.45566,1.08665,0.96838,0.952,0.98084,0.88043,0.49449,0.32396,1.20368,0.001189,0.001189,0.001189
180,8623.03,0.48215,0.4505,1.09124,0.96926,0.95172,0.98092,0.88097,0.49447,0.32388,1.2041,0.0011395,0.0011395,0.0011395
181,8671.16,0.48384,0.45542,1.0871,0.97232,0.95018,0.98,0.88205,0.49424,0.32366,1.20402,0.00109,0.00109,0.00109
